,title,date,body
206,Hovde to Release Pass-Fail Plan For Basic Freshman Courses,14 April 1969,"By MARTIN FLUMENBAUMThe College Committee on Instruction has recommended that students enrolled in almost all of the required degree courses next year receive a grade of either pass or fail. The proposal, if approved by the College faculty later this month, would place virtually the entire freshman year on a mandatory pass-fail basis. In a statement prepared for release today, Dean Carl F. Hovde said that the plan combines ""thepossible virtues of the pass-fail system"" with the committee's conviction ""that students must be carefully evaluated by their teachers."" The' one-year pass-fail plan would include the three basic freshman year courses —Humanities A, English composition and Contemporary Civilization A—as well as all introductory language courses, art humanities, and music humanities. In addition, the committee re-commended that five year-long ""poet's"" sciences coursesastronomy, biology, chemistry, mathematics, and physics—be included in the grading experiment. Any two of these five courses can fulfill the current math-science requirement. The entire experimental plan is subject to review after one year. The eleven-man committee also suggested three alternatives for evaluating student performance in the mandatory pass-fail course. First, instructors could indicate the performance of any student working below C level at midterms. A second option would be to submit letter grades at the end of each semester to the Dean's Office, with the understanding that they would not appear on the student's permanent record. Third, for those faculty members who think that even unrecorded grading impedes proper learning, the committee proposed that instructors complete questionnaires at the end of the semester evaluating their students. The questionnaire could rate each student on his class attendance; the amount of readingcompieted before class discussions; overall command and control of the materials and techniques of the course; written performance in class; and participation in class discussion. A typical set of evaluations used on the committee's sample questionnaire listed the following gradations in performance: ""suberb, fine, solid, adequate, and inadequate."" The instructor is also asked to evaluate term papers and judge the student's ability to ""make testable formulations"" and ""marshal an argument."" The instructor can also recommend a student for academic awards, tutoring, or even psychiatric help. Dean Hovde stated that there are two major reasons why the committee's proposal focuses on the freshman year. ""Students entering selective colleges have for many years been under pressure to collect as many good grades as possible,"" the Dean said. ""It may prove to be true that a first year without publicly recorded fi-experiment primarily because letter grades in the courses were thought necessary for medical and graduate school applications.^, The Committee on Instruction is the College's academic de-cision-making body, and must approve all curricular and grading reforms. A faculty smoker will .be held April 21-to discuss the proposal. Later this month the College faculty will meet to make a final decision. Under the College's current pass-fail option, instituted in September 1967, a student may register for pass-fail credit for only one non-required course per semester. If the proposal is approved by the faculty, however, freshmen or sophomores who take mandatory pass-fail courses will not be permitted to use the regular passfail option. At the request of the Human •Development staff, the Committee "" on Instruction also recommended that all courses in that department be graded on a pass-fail b,asis.nal grades will make students more comfortable without reducing the will to work."" He also remarked that ""passfail entries for the first year will not prejudice our students in their applications to graduate school."" The proposal omits introductory science courses required for majors in chemistry, psychology, mathematics and physics. These were excluded from the pass-fail•/-'. The following is the text of Dean Hovde 's announcement: The College Committee on Instruction is putting forth for consideration by faculty and students a proposal which, if approved for trial, would put the freshman year substantially on a pass-fail basis. We have spent many hours talking about the various suggestions which have been made about the grading system, and while doing so we have on principle denied individual requests for exceptions to ten present letter-grade system. To have done otherwise would have been to change by special precedent a system established by the faculty long ago, and in a matter where there are strong arguments for common practice and control. In making this proposal we have tried to balance twothings--on the one hand, the possible virtues of the pass-fail system and, on the other, our firm conviction that students must be carefully evaluated by their teachers-no change in grading can be permitted to diminish this. The proposal focuses on the freshman year for, several reasons. Students entering selective colleges have for many years been under pressure to collect as many good grades as possible, and it may prove to be true that a first year without publicly recorded final grades will make students more comfortable without reducing the will to work. It is to be noted that our plan assures just as much information as we now have about performance for Columbia's own purposes-the only change is that the final grades would not be recorded on the transcript. That we suggest this for freshman courses does not indicate any feeling that these courses are ""less important"" than more advanced work; but we feel, among other things, that pass-fail entries for the first year will not prejudice our students in their applications to graduate schools, which are primarily concerned with upper-college performance, particularly in the major. It was for a similar reason that we omitted the introductory science courses which are important public evidence for students who. are applying to some graduate programs, medical school being an example. We propose this plan for trial in the coming academic year.II 111 Ml ■■ I 111 I I 1 EEM^^^m^— A Note to Some Skeptical Readers Who Thought Friday's Spectator Was an April Fool's Issue Once a year reporters on Spectator prove to themselves that the events in the so-called real world which they cover are not so different from complete fiction. That annual occasion came last Friday when our April Fool's issue appeared. We regret that the difference between reality and fantasy is so narrow. One Rockland paper almost printed that the county would soon be the site of an ABM installation. But, as one professor explained, when people have an orientation toward calamity, they become especially gullible. Of course, we have only one April Fool's issue a year. The rest of the time we pretend that our readers are relentless skeptics. Spec men are out covering demonstrations, interviewing faculty members, speakingto impeccable sources, reviewing concerts, checking out rumors, attending press .conferences, describing speeches, watching baseball games, sampling new restaurants, contacting irate tenants, speaking to reliable sources, examining city records, condensing 99page reports, analyzing recent books, looking into related developments, noting down pungent comments from witty administrators, speaking with well-informed sources, amassing funds of background knowledge to slip into news briefs, speaking to sources who prefer to remain anonymous, covering demonstrations 'Carl F..Hovde"
207,Bell Will Leave for Post at Harvard,23 April 1969,"Daniel Bell, long identified as one of the bulwarks of the College faculty, has resigned from Columbia and will assume a position at Harvard University after next year. The fifty year-old professor of sociology, author of a book-length critique of general education at Columbia, said yesterday that personal reasons had motivated his decision to move to Cambridge. Several weeks ago the New York Times reported that Professor Bell would leave for Harvard, but at that time he maintained his decision was not final. Professor Bell is one of three teachers leaving the College sociology department,which is already hard-pressed for faculty. Two popular non-tenure faculty members—lecturer William Martin and instructor A.E. Bryan Heading—will also not return next year. The department has announced the appointment of two new assistant professors, but it has not yet found a tenure replacement for Professor Bell, who now teaches two seminars. Professor Bell said yesterday that he would spend a year at the Russell Sage Foundation before moving to Cambridge. During the year, he said, he will edit a book on social change and continue work on a history of European socialism and a monograph on Albert Brisbane and Charles Fourier.A journalist for many years before fully entering the academic world, Bell served as managing editor of the New Leader and labor editor of Fortune before coming to Columbia in 1959. He is now editor and co-founder with Irving Kristol of The Public Interest, a quarterly which deals with questions of social policy. A graduate of City College, Professor Bell taught at the University of Chicago in the late forties and lectured part-time at Columbia's School of General Studies in the early fifties. He received his Ph.D. from Columbia in 1960. A collection of essays written during his years as a journalist appeared in 1960 under the title, ""The End of Ideology,"" which has since then become a rubric for several theories about modern society. Bell now says that he does not regret the title phrase, in spite of what has happened since then, for example, at Columbia. But a friend of Professor Bell, Harvard sociologist Nathan Glazer, commented, ""What he meant was that ideology should end. It just turns out it didn't."" Professor Bell is also the author of a history of Marxism in the United States and editor of abook on the ""radical right."" In 1966 he published ""The Reforming of General Education."" In recent years he has written extensively on questions of social forecasting and the impact of technology, and will publish a book later this year on ""post-industrial society""—a term he coined. He has served as chairman of a government panel on social indicators and of another commission on the year 2000. Asked why he had resolved to leave Columbia, Professor Bell — in somewhat typicalfashion—first commented on the difficulties of analyzing decision-making and then observed that he had ""adesire to get away from New York City"" and to work more closely with various colleagues at Cambridge—Patrick Moynihan, James Q. Wilson, Samuel Huntington, Alex Inkeles. Professor Bell's report on the reforming of general education recommended that the College employ a more historical approach in Contemporary Civilizations and Humanities A; formulate a uniformmath-science requirement; and adopt a ""third tier"" of interdisciplinary general education courses which might ""brake"" the tendency toward specialization. The report came under attack from such University figures as 1.1. Rabi and Jacques Barzun, and has not been used as the basis for a reorganization of the curriculum. But it has received national attention and was issued recently in book form. The two new assistant professors in the sociology department next year will be Marcel Teitler, a specialist in North African society who received a doctorate from Berkeley, and Caroline Atkinson, a black graduate of Har-vard. A distinguished Marxist sociologist from theSorbonne, Lucien Goldman, will be a visiting professor next year, teaching a course on Marxism open to College students. The recent decision of an interdepartmental tenure committee to postpone action indefinitely on Herbert Gans, a visiting professor, has left the sociology department without a candidate for one of the urban chairs endowed by the Ford Foundation. Professor Gans last week accepted an appointment at the Massachusetts Institute of Technology. The sociology department will also partly lose the services of Professor William Goode, who hasreceived a five-year research grant and will probably be unable to teach full-time. Last week the department elected Professor Amitai Etzioni as its new chairman, replacing Paul Lazarsfeld, Quetelet Professor of Sociology, who will retire this spring. Since last year the graduate division 1 has been seriously divided, with a fairly large number of the students supporting the strike of last spring.Daniel Bell"
208,"Committee Accepts Anderson Proposal Would Replace CC, Humanities, English With Common Course For All Freshmen",24 April 1969,"Would Replace CC, Humanities, English With Common Course For All FreshmenBy JON GRONEROne hundred fifty freshmen next year may take a single ten-point course on a specialized topic in place of Humanities A, Contemporary Civilization A, and English composition. The College Committee on Instruction yesterday approved a plan proposed by Professor of English Quentin Anderson which would set up such a course next fall on an experimental basis. The proposal must now be approved by the College faculty. If the plan is approved, ten sections of the new freshman course would be set up next semester. Each section would be limited tp about, fifteen students andwould be taught by both a full- < time faculty member and a preceptor. A specific topic in the humanities or social sciences would be selected for each section. It is expected that the proposal will first be discussed at a faculty smoker for the entire College teaching staff on April 30. Professor Anderson said yesterday that he hopes his proposal, which was originally circulated among College faculty members just before Christmas vacation, will soon be approved so that it can go into effect next term. ""I'm going to scrap for it, and I know other faculty members who will scrap for it,"" Professor Anderson said. The plan was originally put forth in order to give direction and unity to the freshman year and to eliminate the ""obsolescence"" of the cur-rent general education offerings. Dean Carl F. Hovde said yesterday that he considers the Anderson proposal ""very interesting* and that he ""would like to see it tried."" ""I hope that there's enough faculty interest in the plan toapprove itas an experiment,"" he stated. Joseph Rothschild, professor of government and director of the CCA program, said yesterday that he foresaw opposition to the Anderson proposal by the CCA staff. He said that the discussion of the plan at the April 30 smoker would be ""decisive"" in determining the plan's success. Since the majority of the instructors of CCA and Humanities A are below the rank of assistant professor, Professor Rothschild explained, they would not be qualified to attend the College faculty meeting but would be present at the smoker for the entire College teaching staff.He stated that many CC instructors would be ""doubtful"" regarding, the Anderson proposal since ""they feel as if they've already had their revolution."" Professor Rothschild was referring to the complete revamping of the CCA syllabus which took effect this fall. The director of the Humanities A program, Professor of French Donald Frame, expressed reservations about Professor Anderson's proposal. ""There's a lot in it which I like, but I would be very sorry to see Humanities A go,"" he said yesterday. Professor Frame added, however, that he will probably vote for the proposal."
209,Panel Criticizes Anderson Plan,28 April 1969,"By MARTIN FLUMENBAUMThe Undergraduate Academic .Affairs Committee yesterday released a plan for reorganization of the freshman year curriculum as an alternative to a proposal made by Professor of English Quentin Anderson for a ten-point common course to supplant Humanities A, Contemporary Civilization A, and English Composition. The committee suggested that both semesters of English composition be discarded and replaced with a one-term course modeled after English 1003 -- a course involving the close scrutiny of a single text. It also recommended that the College provide freshmen with the option of taking one of the three basic general education courses as a seminar. The College Committee on Instruction approved the Anderson plan last week and suggested that ten sections, each limited to fifteen students and taught by a full-time faculty member and apreceptor, be established next fall on an experimental basis. The proposal now must be approved by the College faculty. ""My scheme extrapolates the notion of the freshman seminar,"" Professor Anderson wrote in Febru-ary, ""seeks to preserve not the common experience of Humanities A or Contemporary Civilization, but a common emphasis on responsible inquiry, methodological rigor, and inclusive treatment leading to at least a modest mastery on the part of the student."" Alan Sparer '69, author of the Academic Affairs Committee proposal, stated that the Anderson plan lacked ""breadth"" and would be ""demoralizing."" In a two-page critique, Sparer declared that ""Professor Anderson's program, in restricting itself to smaller 'topics' for intensive study, overemphasizes depth to the exclusion of breadth.It is not general education, but early specialization."" Maintaining that the committee's proposal ""attempts to combine breadth and depth,"" Sparer noted several difficulties involved in the common course proposal. First he warned that those freshmen who are taught by poor instructors or who lose interest in the selected topic would be in a worse position under the Anderson plan than they are now. ""It is likely that many of them will drop out of school,"" he declared. Second, Sparer noted that having; the same fifteen students in sixty per cent of their classes ""will restrict the social life of freshmen, just when it is most important that they be exposed to a wide varietyof fellow students."" Similarly, having the same faculty member for sixty per cent of their class time ""will limit their ac-quaintance with the faculty, just when they need to see a large variety of teachers, in order to have some rational basis for the selection of a major field."" Third, Sparer maintained that if the Anderson proposal were approved, all flexibility in the freshman year schedule would be lost. ""Almost all freshmen will be forced to take the same program: the Anderson ten-point course, a foreign language, and a math or science course."" Professor Anderson has suggested that 150 instructors would be required to teach the common course-35 teachers per term more than the present CC, Humanities and freshman English staffs. Sparer, however, said the number 'would be considerably higher since professors teaching the common course would be entitled to a reduction in the rest of their course load.Alan SparerQuentin Anderson"
210,The Anderson Plan,28 April 1969,"Last week, with little fanfare or publicity, the College Committee on Instruction passed a proposal which would introduce on an experimental basis a single, ten-point freshman course to replace Humanities A, Contemporary Civilization A, and English composition. The plan, which would apply to 150 students next year, was conceived by Quentin Anderson and has the backing of notables like Jacques Barzun and Lionel Trilling. Unfortunately, it seems to be heading for rapid endorsement by the College faculty. Professor Anderson argues that the current freshman courses are not working, and that what students need is intensive textual analysis which would train them in ""disciplined inquiry."" He says, ""We should be getting down to the brass tacks of logic, clear writing, responsible reading, demonstrated comprehension, at the outset""-- that is, in the freshman year. Tb accomplish these aims, Anderson suggests a year-long seminar, to meet six hours a week, taught by an assistant professor and a preceptor, devoted to one specialized subject. Anderson's own sample topics: ""The City in the 19th"" Century and After; Evolutionary Thought in Victorian England; Art Nouveau and Its Interpreters; John Dewey and American Schools; The History of Biology."" In other words, a student would spend his first year at Columbia taking, for example, Introductory Chemistry, second-year French, and Art Nouveau and Its Interpreters (or Disciplined Inquiry A). What Professor Anderson apparently forgets is that concentration on a single subject to the degree he proposes will succeed only if students have freely chosen the subject and really want to spend virtually the entire term examining it. Imagine the situation of the student who, three weeks into the semester, has irrevocably concluded that he is uninterested in Art Nouveau and its Critics, and finds his one tenpoint seminar dull. His whole freshman year is shot."" The Anderson plan masquerades as a return u» general education, but it is really the triumph' of methodology over history. For years people have bemoaned the tendency of survey courses to overemphasize historical generalizations at the expense of intensive analysis, and it was likely that out of this criticism a plan would arise for the total submersion of the historical framework in favor of an analytical one. But the shift to this extreme position should be resisted. Moreover, supporters of the Anderson proposal fail to consider what will actually happen in most cases if his plan becomes the accepted format. A topic chosen for the ten-point course will be the specialty of the assistant professor, who will probably discuss the minutiae of his field, not the logic of inquiry. Professor Anderson would have students do in their freshman year what academics do all their lives. There are other things wrong with the Anderson plan. It would restrict classroom contact to twelve or fifteen fellow students, and give freshmen exposure to fewer faculty members. There would be less opportunity for comparing different fields. Many students entering the sciences might never have the occasion to read the Homeric epics, Greek tragedy, the Republic, Augustine's Confessions, Dante, Milton, Rabelais and those who might read them later in literature courses,might never have the opportunity to look at those works as naive men.' That perhaps might be the greatest loss: In their freshmen year, students would be expected 10 examine literature as sophisticated scholars, as academic professionals— and it would all be pretense. The Academic Affairs Committee has presented an intelligent alternative to the Anderson proposal which merits consideration by the faculty. By eliminating English composition and substituting English 1003, the committee retains intensive study of a single text which Anderson wants- but within reasonable proportion to the rest of the curriculum. By establishing a seminar option in one of the general education courses, they provide for small discussion groups. But they do not eliminate Humanities A —one of the most eminently successful courses in the College— and they do not cut out Contemporary Civilization — which for all its faults, is still basically worth preserving. The staff CC has recently sought to eliminate the worse features of survey-type courses by revising the curriculum to permit concentration in particular historical periods. The changes they are making should not be cut short. If the College faculty endorses the Anderson plan, it may make no other modifications in the freshman curriculum, thinking that one experiment is enough for this year. In that case, we would not only suffer a bad change, but the bad change would also serve to drive out sensible reforms, such as the alternative plan proposed by Academic Affairs. paulstaxp:"
211,Dean Recommends New Panel Study General Education College Faculty Meeting Scheduled for Today,25 November 1969,"College Faculty Meeting Scheduled for TodayBy JON GRONERAt a College faculty meeting this afternoon, Dean Hovde will recommend the formation of a special faculty committee to study the general education program of the College. The Dean said yesterday that the committee would consider ""the character and direction of Contemporary Civilization, Humanities, and English A"" and would take up several proposals for curriculum reform initially made last year. Among the plans to be discussed by the committee is a proposal by Professor of English Quentin Anderson, which would subsitute for CCA, Humanities A, andfreshman English one required tenpoint freshman course concentrating on a single specialized topic. Also on the committee's agenda will be an alternative plan suggested by the Undergraduate Academic Affairs Committee. This would replace freshman English with a course concentrating on a single text or author. The Dean said he was uncertain whether the panel would consider the ""institutes"" plan put forward by Professor of Government Alan F. Westin, but he added that he was ""terribly eager"" that the proposal receive attention from the faculty. The new committee will include junior faculty members who teachthe three freshman courses, as well as senior professors, the Dean stated. No members have been appointed yet. The faculty will vote at the meeting on two alterations of the sec-ond-year Contemporary Civilization program recommended earlier this month by the Committee on Instruction. The committee proposed that students be allowed to fulfill both degree and major requirements with the same CCB course. It also recommended an increase in the number of courses which can be used to fulfill the requirement. In addition, the faculty may consider including instructors below the rank of assistant professor as voting members. However, the Dean said he is not sure that this question will be raised.Carl F. Hovde"
212,New Panel Reconsidering General Education,8 January 1970,"By JON GRONERThe new College Committee on Educational Policy, the latest in a series of committees to reconsider the College curriculum will determine how much of the academic tradition of the College is still valid. The committee, established by Dean Hovde last month, will con-sider every proposal for academic reform that has been publicized in the past year and a half—News Featureas well as some which have not. For the next few weeks it will deal with general topics—the needs, resources, and goals of the College—before getting down to specifics. General education will be one of the committee's major con-cerns. Student and faculty members have recently leveled broad criticisms against the traditional Humanities and Contemporary Civilization programs. A number of faculty members have advocated abolishing the two common courses and substituting a distributional requirement similar to that of most American universities. Discontent with the present program stems from a variety of sources. Some chairmen of departments which staff the general education courses regard them as extra burdens that draw instructors away from the departmental curriculum. If they were not required to supply instructors for CC and Humanities A, the departments could use those men to expand their own offerings. Those junior faculty members who would prefer to teach in their ownspecialized fields might also welcome the abolition or downgrading of general education courses. On the other hand, a number of faculty members such as Professor of Biology Cyrus Levinthal see any system of required courses as an interference with students' freedom of choice. Accordingly, the retention of CC and Humanities, possibly in a modified form on a voluntary rather than a compulsory basis, is one of the more feasible options which the committee will consider. This suggestion would probably be quite popular among most students, who tend to support the idea of general education but oppose specific requirements. Most students feel that the ideal of general education is still valid but that the courses often fall far short of the ideal. Many students feel that a large number of the junior faculty members on the CC and Humanities staffs are not really qualified to teach such wide-ranging and demanding courses. They also complain that the courses are too broad in scope, and that the required reading is too heavy. Professor of Russian Robert Belknap, chairman of the new committee, predicted earlier this week that CC and Humanities will survive the reevaluation, but that therewill probably be a number of needed reforms. The committee may attempt to restore something of the original conception of the courses by encouraging more senior professors to teach them. Previous efforts to reform the College's academic program have only achieved mixed results. The •Joint College Commission (JCC), the last such effort, presenteda number of proposals in the fall of 1968 which have been generally ignored. Members of the new committee are determined that its recommendations not suffer the same fate. One member has said that he feels the JCC was ""the right thing at the wrong time"" and that the issuance of its report in the midst of the restructuring controversies of the fall of 1968 caused its recommendations to be overlooked amid a swarm of proposals. One committee member estimated that the group stands ""something less than a 50-50 chance* to produce proposals that could be approved by the faculty in time to be included in next year's catalogue.Robert Belkna"
213,Page 6 Advertisements Column 1,17 February 1970,
214,Panel May Urge End to English A,24 February 1970,"By JON GRONERThe College Committee on Educational Policy appears likely to recommend later this spring that English A be abolished as a separate course, that experimental freshman seminars be set up to replace first-year Contemporary Civilization for some students, and that the math-science requirement be .revamned to stress biology and physics. The committee, which has been engaged"" for two months in an intensive evaluation of the curriculum, has not yet made any formal decisions, but interviews with members of the group indicate that a consensus has been reached on several specific points. The group has met at least once a week since mid-December and is discussing various aspects of the curriculum—CCA, Humanities A, the math-science requirement, the upper College major system—one by one, in consultation with members of the various departments. Professor of Russian Robert Belknap, chairman of the sixteen-man group, said yesterday that there is ""no chance* that the committee will recommend increasing academic requirements. He predicted that the group will attempt to ""relax"" requirements so that a student can fulfill them in a number of ways. For example, Professor Belknap i tated that many members of the committee favor setting up several experimental sections of a course that would serve as an alternative to CCA for a number of freshmen. The new course would be taught in a seminar format, with about fifteen students per section. Many members of the committee feel that English-A is unpopular with students and that is does not successfully teach writing skills. They suggest that composition be taught in conjunction with freshman CC or humanities. There is wide agreement on the committee that CCA is unsatisfactory in its present form. However, members disagree on the source of its inadequacies. Some, like Associate Professor of History David Rothman, consider the present syllabus ""intellectuallysloppy"" and claim that students get ""an incredibly confused sense of chronology"" from the course. Other members point to staffing difficulties and student discontent as problems with CCA. The math-science requirement has been the subject ofintense debate within the committee. Sidney Morgenbesser, professor of philosophy, advocated making the requirement considerably more rigorous by specifying such fields of science as physics or biology as necessary to fulfill the requirement. Eventually a compromise was reached; the committee probably will recommend that all the ""poets"" science courses be made more ""intellectually rigorous"" and include at least some physics and biology.According to many committee members, some existing ""poets"" courses, such as elementary geology or astronomy, are so far removed from current research in physics and biology as to provide a misleading idea of science to the non-science major. Geology Clolo,a new course on ""Man's Physical Environment,"" was cited as a science course which stresses physics and biology. The group may also recommend reducing the math-science requirement to one year, but a member indicated yesterday that there is still disagreement on this point within the group. The committee has not yet set a target date for releasing its formal proposals, but members have recently expressed hope that areport will be ready by the end of the end of the academic year in May so that experiments can be set up this September. It is not likely that the committee will recommend any extremely radical proposals, such as the abolition of all academic requirements or the replacement of the entire general education program with a system of distributional requirements. However, Profes-, sor Rothman praised the ""willingness of the committee to tamperwith CC"" and emphasized that major changes may be proposed within the existing academic framework. The committee has not yet formally discussed the second-year CC program, which consists of sixteen courses taught in seven departments. However, Professor Belknap indicated yesterday that the committed may recommend establishing some common approach among the CCB courses. After dealing with the CCB and Humanities B programs, the committee will discuss the upper College. Assistant Professor of Economics Raymond Lubitz said last week that the social science departments, which have undergone much criticism recently, will be considered in the greatest depth. Professor Belknap said yesterday that the committee may recommend that the departments assign more tenured professors to College teaching, but explained that ""it's a question of university priorities, and there's not much the committee can do about this.""Robert Belknap"
215,Freshman Year Revision Proposed,8 April 1970,"By JON GRONERThe College Committee on Educational Policy agreed last night to recommend a radical revision in the course offerings and requirements for the freshman year. The group's tentative proposal, which will be circulated among students and faculty members later this month, will provide that freshmen be allowed to fulfill their first-year requirements in one of three ways: —By taking Contemporary Civilization A, Humanities A, and a ""writing seminar"" which would replace freshman English; —By substituting an 8 to 10-point course, similar to that proposed last year by Professor of English Quentin Anderson, for Contemporary Civilization, Humanities, and English; —By substituting for regular Humanities A and English A a six-point course which would cover most of the material of the humanities sequence but place a greater emphasis on writing. Professor of Russian Robert Belknap, chairman of the committee, yesterday termed the proposal ""not a decision but a starting point."" He indicated that it is open to discussion and revision from interested students and faculty members. Professor Belknap said the plan would provide ""a great deal more individual attention. Every student would have one course where he'd come very close to one text."" He explained that the ""writing seminar"" which students could take in place of freshman English would be modeled on English ClOO3, a popular freshman course, and would focus on one major work. English A as it now exists would be abolished. The Anderson proposal, which was first drawn up about a year ago, was designed to allow freshmen toconcentrate on a single topic in place of taking the 1 current general education program. It was criticized| last year by the Undergraduate Academic Affairs Committee, which called the pla,n too restrictive. Professor Belknap said yesterday that he felt his committee's tentative recommendations were ""fairly conservative in coverage but quite radical in pedagogical approach."" In the proposal it will circulate later this month, the committee will also include recommendations dealing with the sophomore year curriculum and the staff-; ing of College courses. At the weekly meeting last night, members of the group were unable to reach complete agreement on these topics and postponed final consideration of them until next week.Robert Belknap"
216,"B. A. Requirements May Be Lowered Educational Panel Calls For Changes In CCB, Humanities, Sciences",28 April 1970,"Educational Panel Calls For Changes In CCB, Humanities, SciencesBy JON GRONERThe College Committee on Educational Policy is expected to recommend to the College faculty that the math-science requirement be reduced to one year of natural science, that Contemporary Civilization B be replaced by a distributional requirement, and that students be allowed to substitute a literature course for art and music humanities. The committee will vote tonight on the plan, which was proposed by Assistant Professor of Biology Eric Holtzman. Robert Belknap, professor of Russian and chairman of the panel, predicted last night that the group's recommendations have ""a very good chance"" of being approved by the faculty at its meeting next month.Assistant Professor of Greek and Latin Seth Schein, another member of the sixteen-man group, last night indicated that the Holtzman plan ""represents more or less what the committee will finally recommend."" He said, however , that the group may make minor changes in the proposal at tonight's meeting. According to Professor Schein, the main question that is yet to be decided is the status of mathema-' tics and foreign languages. The Holtzman proposal recommends that students be required to take a* year of either math or language, but some members of the committee oppose this provision, feeling that students should be required to fulfill a year of both subjects. The current science requirement can be satisfied with either two years of mathematics or a natural science. Under the committee's recommendations, only a year of natural science would qualify. If the proposal is adopted, math could be used in place of language. The panel will also recommend that any full-year course in the social sciences, including history, should satisfy the second-year CCB distributional requirement.Most members of the group feel that the current CCB courses are not fulfilling the function of general education courses. The committee consulted with the art and music departments before considering making art and music humanities optional. According to Professor Scheih, the panel was satisfied that ""fewer but better students"" would register for the courses if they were not required. Dr. Belknap said last night that one reason thatthegroup's recommendations are likely to be approved by the faculty is that the group has ""a lot of political power."" ""There's almost nobody who can say there's no one on this committee he can't really trust,"" Professor Belknap said. The Holtzmanplanis understood to represent a compromise between committee members such as Dr. Belknap, who wanted to retain the current number of required courses and those who wished to do away with all requirements. The group decided several weeks ago to recommend that freshmen have the option of taking a ten-point course to fulfill their general education requirement or a six-point course which would replace English A and either CCA or Humanities A.Eric Holtzman"
217,College Faculty to Convene To Debate Academic Reform,13 May 1970,"The College faculty will meet this afternoon ostensibly to discuss the recommendations of the Committee on Educational Policy. Today's meeting, the second in two days, will start at 2 p.m., and is a regularly scheduled session called several weeks before the strike began, to deal with issues of curriculum' reform. It is possible, however, that discussions related to the current political crisis may take up all or part of the meeting. The Committee on Educational Policy, which is chaired by Professor of Russian Robert L. Belknap, has issued a two-page preliminary report embodying its proposal for curriculum reform. These proposals will be discussed, after the formal business of the meeting has been concluded, by the faculty as a ""committee of the whole."" - Professor Belknap explained last night that this device was used ""to avoid getting tangled in parliamentary procedure."" He ex-' pressed the hope that a free discussion of the proposals would occur. The proposals are scheduled to be voted on at anothermeeting May 20. The latest version of the edu-* cational panel's proposals asks that students be required to take three courses outside of their major field rather than four, as was originally proposed. It also suggests the creation of a perma-nent committee on general education to oversee the various options which the panel provided for the fulfillment of general education requirements. ""A majority of the Educational Policy Committee is persuaded that the importance of general education is greater rather than less in our present cultural situation,"" the preamble to the panel's draft proposal states. ""At this moment the main justification for having an undergraduate institution at Columbia seems to us to rest on the distinctive character of that institution,"" it closes. The committee agreed at its regular meeting last night *n a proposal to revamp College staffind. This proposal would set up five interdepartmental staffs to coordinate general education and interdepartmental majors. This proposal will also be presented to the faculty today. The faculty will also consider a proposal made by the Committee on Instruction to grade Humanities A, Contemporary Civilization A, and English A on a pass/fail basis. This proposal was originally submitted by the Undergraduate Academic Affairs Committee. In addition, the faculty will elect five new members to the Committee on Instruction for threeyear terms beginning in September."
